inventory_id,product_id,warehouse_id,inventory_date,opening_stock,received_quantity,sold_quantity,closing_stock,damaged_quantity
218,P0015,W08,2025-01-31,35,44,6,69,4
219,P0015,W09,2025-01-31,55,16,1,70,0
220,P0015,W10,2025-01-31,84,29,0,113,0
221,P0015,W11,2025-01-31,52,45,0,96,1
222,P0015,W12,2025-01-31,59,29,3,0,0
223,P0015,W13,2025-01-31,46,26,0,0,1
224,P0015,W14,2025-01-31,55,43,3,0,0
225,P0015,W15,2025-01-31,41,22,0,63,0
226,P0016,W01,2025-01-31,826,136,20,941,1
227,P0016,W02,2025-01-31,980,136,0,1113,3
228,P0016,W03,2025-01-31,536,141,5,670,2
229,P0016,W04,2025-01-31,721,222,8,2824,6
230,P0016,W05,2025-01-31,795,214,0,1005,4
231,P0016,W06,2025-01-31,659,294,20,932,1
232,P0016,W07,2025-01-31,1154,200,11,1334,9
233,P0016,W08,2025-01-31,588,219,0,801,6
234,P0016,W09,2025-01-31,506,308,51,755,8
235,P0016,W10,2025-01-31,482,320,0,796,6
236,P0016,W11,2025-01-31,593,202,0,3538,2
237,P0016,W12,2025-01-31,550,300,9,839,2
238,P0016,W13,2025-01-31,570,127,22,671,4
239,P0016,W14,2025-01-31,761,350,62,1048,1
240,P0016,W15,2025-01-31,857,392,61,1179,9
241,P0017,W01,2025-01-31,653,265,4,904,10
242,P0017,W02,2025-01-31,763,328,23,1066,2
243,P0017,W03,2025-01-31,521,257,18,754,6
244,P0017,W04,2025-01-31,524,289,52,756,5
245,P0017,W05,2025-01-31,493,150,17,621,5
246,P0017,W06,2025-01-31,632,214,31,805,10
247,P0017,W07,2025-01-31,423,186,0,604,5
248,P0017,W08,2025-01-31,751,102,0,849,4
249,P0017,W09,2025-01-31,298,298,29,561,6
250,P0017,W10,2025-01-31,821,219,0,1039,1
251,P0017,W11,2025-01-31,528,136,0,2642,3
252,P0017,W12,2025-01-31,338,408,32,0,6
253,P0017,W13,2025-01-31,745,417,26,1133,3
254,P0017,W14,2025-01-31,833,218,22,1021,8
255,P0017,W15,2025-01-31,520,169,0,681,8
256,P0018,W01,2025-01-31,628,331,0,948,11
257,P0018,W02,2025-01-31,1295,449,0,1734,10
258,P0018,W03,2025-01-31,930,205,0,1126,9
259,P0018,W04,2025-01-31,669,242,0,905,6
260,P0018,W05,2025-01-31,800,141,40,900,1
261,P0018,W06,2025-01-31,634,82,26,689,1
262,P0018,W07,2025-01-31,1214,327,36,1491,14
263,P0018,W08,2025-01-31,1188,450,45,1587,6
264,P0018,W09,2025-01-31,1016,668,58,1617,9
265,P0018,W10,2025-01-31,900,268,61,1105,2
266,P0018,W11,2025-01-31,862,134,36,959,1
267,P0018,W12,2025-01-31,516,249,60,699,6
268,P0018,W13,2025-01-31,792,89,63,818,0
269,P0018,W14,2025-01-31,931,249,18,1161,1
270,P0018,W15,2025-01-31,509,442,69,874,8
271,P0019,W01,2025-01-31,74,53,0,125,2
272,P0019,W02,2025-01-31,109,42,5,145,1
273,P0019,W03,2025-01-31,112,38,0,150,0
274,P0019,W04,2025-01-31,64,35,3,96,0
275,P0019,W05,2025-01-31,92,26,3,115,0
276,P0019,W06,2025-01-31,92,32,4,120,0
277,P0019,W07,2025-01-31,66,19,3,82,0
278,P0019,W08,2025-01-31,84,29,3,109,1
279,P0019,W09,2025-01-31,70,38,4,102,2
280,P0019,W10,2025-01-31,62,33,5,90,0
281,P0019,W11,2025-01-31,99,64,2,159,2
282,P0019,W12,2025-01-31,100,40,3,137,0
283,P0019,W13,2025-01-31,61,0,5,56,0
284,P0019,W14,2025-01-31,64,43,0,106,1
285,P0019,W15,2025-01-31,85,29,5,109,0
286,P0020,W01,2025-01-31,773,216,21,963,5
287,P0020,W02,2025-01-31,450,381,23,800,8
288,P0020,W03,2025-01-31,850,314,0,1159,5
289,P0020,W04,2025-01-31,906,183,21,1066,2
290,P0020,W05,2025-01-31,1040,578,77,1536,5
291,P0020,W06,2025-01-31,550,277,27,798,2
292,P0020,W07,2025-01-31,518,187,0,702,3
293,P0020,W08,2025-01-31,1101,104,33,0,5
294,P0020,W09,2025-01-31,838,359,0,1190,7
295,P0020,W10,2025-01-31,586,131,14,698,5
296,P0020,W11,2025-01-31,486,169,0,654,1
297,P0020,W12,2025-01-31,1044,264,9,1290,9
298,P0020,W13,2025-01-31,326,401,12,708,7
299,P0020,W14,2025-01-31,484,183,20,641,6
300,P0020,W15,2025-01-31,475,264,54,682,3
301,P0021,W01,2025-01-31,155,77,1,231,0
302,P0021,W02,2025-01-31,257,143,10,385,5
303,P0021,W03,2025-01-31,157,102,15,242,2
304,P0021,W04,2025-01-31,399,145,23,516,5
305,P0021,W05,2025-01-31,227,150,8,368,1
306,P0021,W06,2025-01-31,192,157,0,818,5
307,P0021,W07,2025-01-31,407,133,15,521,4
308,P0021,W08,2025-01-31,72,106,0,176,2
309,P0021,W09,2025-01-31,276,160,15,1326,0
310,P0021,W10,2025-01-31,215,158,12,868,2
311,P0021,W11,2025-01-31,67,117,12,171,1
312,P0021,W12,2025-01-31,309,51,7,352,1
313,P0021,W13,2025-01-31,186,31,26,191,0
314,P0021,W14,2025-01-31,297,83,0,379,1
315,P0021,W15,2025-01-31,357,80,2,435,0
316,P0022,W01,2025-01-31,560,176,21,712,3
317,P0022,W02,2025-01-31,376,122,16,479,3
318,P0022,W03,2025-01-31,439,123,16,542,4
319,P0022,W04,2025-01-31,517,169,0,684,2
320,P0022,W05,2025-01-31,542,302,1,836,7
321,P0022,W06,2025-01-31,283,36,8,0,1
322,P0022,W07,2025-01-31,388,190,17,556,5
323,P0022,W08,2025-01-31,184,70,10,242,2
324,P0022,W09,2025-01-31,205,175,0,377,3
325,P0022,W10,2025-01-31,294,148,23,413,6
326,P0022,W11,2025-01-31,212,249,20,1813,5
327,P0022,W12,2025-01-31,327,139,19,445,2
328,P0022,W13,2025-01-31,464,158,0,620,2
329,P0022,W14,2025-01-31,246,134,32,346,2
330,P0022,W15,2025-01-31,511,133,7,637,0
331,P0023,W01,2025-01-31,101,23,2,121,1
332,P0023,W02,2025-01-31,28,35,1,62,0
333,P0023,W03,2025-01-31,134,23,3,154,0
334,P0023,W04,2025-01-31,91,9,1,99,0
335,P0023,W05,2025-01-31,51,16,3,64,0
336,P0023,W06,2025-01-31,76,31,2,105,0
337,P0023,W07,2025-01-31,50,45,0,95,0
338,P0023,W08,2025-01-31,51,47,1,96,1
339,P0023,W09,2025-01-31,96,42,0,138,0
340,P0023,W10,2025-01-31,96,49,0,145,0
341,P0023,W11,2025-01-31,68,37,0,103,2
342,P0023,W12,2025-01-31,77,17,0,90,4
343,P0023,W13,2025-01-31,92,12,3,101,0
344,P0023,W14,2025-01-31,85,15,3,97,0
345,P0023,W15,2025-01-31,81,40,2,116,3
346,P0024,W01,2025-01-31,369,173,7,533,2
347,P0024,W02,2025-01-31,153,133,15,266,5
348,P0024,W03,2025-01-31,339,78,0,416,1
349,P0024,W04,2025-01-31,163,110,17,254,2
350,P0024,W05,2025-01-31,315,25,15,324,1
351,P0024,W06,2025-01-31,402,168,15,554,1
352,P0024,W07,2025-01-31,11,165,5,169,2
353,P0024,W08,2025-01-31,381,287,1,664,3
354,P0024,W09,2025-01-31,79,86,6,157,2
355,P0024,W10,2025-01-31,213,144,0,356,1
356,P0024,W11,2025-01-31,359,143,12,490,0
357,P0024,W12,2025-01-31,252,81,9,324,0
358,P0024,W13,2025-01-31,216,25,12,229,0
359,P0024,W14,2025-01-31,400,113,27,486,0
360,P0024,W15,2025-01-31,314,105,16,399,4
361,P0025,W01,2025-01-31,72,67,1,138,0
362,P0025,W02,2025-01-31,79,32,0,111,0
363,P0025,W03,2025-01-31,43,57,3,96,1
364,P0025,W04,2025-01-31,104,61,3,162,0
365,P0025,W05,2025-01-31,84,44,0,128,0
366,P0025,W06,2025-01-31,68,47,0,111,4
367,P0025,W07,2025-01-31,69,20,0,409,0
368,P0025,W08,2025-01-31,100,34,2,132,0
369,P0025,W09,2025-01-31,33,14,8,39,0
370,P0025,W10,2025-01-31,83,59,0,141,1
371,P0025,W11,2025-01-31,63,43,1,104,1
372,P0025,W12,2025-01-31,105,6,4,107,0
373,P0025,W13,2025-01-31,89,36,7,289,2
374,P0025,W14,2025-01-31,85,31,5,111,0
375,P0025,W15,2025-01-31,53,28,3,77,1
376,P0026,W01,2025-01-31,37,1,0,38,0
377,P0026,W02,2025-01-31,232,51,3,280,0
378,P0026,W03,2025-01-31,168,75,7,235,1
379,P0026,W04,2025-01-31,222,59,6,275,0
380,P0026,W05,2025-01-31,271,83,13,340,1
381,P0026,W06,2025-01-31,183,95,1,275,2
382,P0026,W07,2025-01-31,165,49,1,212,1
383,P0026,W08,2025-01-31,146,62,8,199,1
384,P0026,W09,2025-01-31,156,107,20,243,0
385,P0026,W10,2025-01-31,184,47,0,229,2
386,P0026,W11,2025-01-31,106,123,0,229,0
387,P0026,W12,2025-01-31,187,23,0,210,0
388,P0026,W13,2025-01-31,125,105,2,227,1
389,P0026,W14,2025-01-31,241,34,4,271,0
390,P0026,W15,2025-01-31,118,80,17,181,0
391,P0027,W01,2025-01-31,449,392,3,832,6
392,P0027,W02,2025-01-31,531,246,10,760,7
393,P0027,W03,2025-01-31,529,233,12,745,5
394,P0027,W04,2025-01-31,574,78,3,648,1
395,P0027,W05,2025-01-31,534,40,0,574,0
396,P0027,W06,2025-01-31,861,162,0,1021,2
397,P0027,W07,2025-01-31,690,87,0,776,1
398,P0027,W08,2025-01-31,724,206,46,879,5
399,P0027,W09,2025-01-31,543,367,0,902,8
400,P0027,W10,2025-01-31,572,294,12,854,0
401,P0027,W11,2025-01-31,327,123,41,408,1
402,P0027,W12,2025-01-31,554,373,0,921,6
403,P0027,W13,2025-01-31,581,212,24,765,4
404,P0027,W14,2025-01-31,782,307,7,1076,6
405,P0027,W15,2025-01-31,563,189,24,725,3
406,P0028,W01,2025-01-31,469,196,32,630,3
407,P0028,W02,2025-01-31,521,267,0,781,7
408,P0028,W03,2025-01-31,500,372,17,850,5
409,P0028,W04,2025-01-31,507,43,0,548,2
410,P0028,W05,2025-01-31,587,122,21,683,5
411,P0028,W06,2025-01-31,385,188,42,524,7
412,P0028,W07,2025-01-31,469,281,16,730,4
413,P0028,W08,2025-01-31,416,207,13,607,3
414,P0028,W09,2025-01-31,649,125,29,743,2
415,P0028,W10,2025-01-31,581,215,0,790,6
416,P0028,W11,2025-01-31,662,209,25,843,3
417,P0028,W12,2025-01-31,362,177,23,509,7
418,P0028,W13,2025-01-31,371,265,17,615,4
419,P0028,W14,2025-01-31,390,79,37,432,0
420,P0028,W15,2025-01-31,691,102,10,782,1
421,P0029,W01,2025-01-31,412,243,20,630,5
422,P0029,W02,2025-01-31,555,54,11,598,0
423,P0029,W03,2025-01-31,494,21,10,505,0
424,P0029,W04,2025-01-31,282,47,18,310,1
425,P0029,W05,2025-01-31,185,178,14,345,4
426,P0029,W06,2025-01-31,393,45,32,406,0
427,P0029,W07,2025-01-31,439,51,7,483,0
428,P0029,W08,2025-01-31,309,188,0,490,7
429,P0029,W09,2025-01-31,305,329,19,610,5
430,P0029,W10,2025-01-31,393,39,19,413,0
431,P0029,W11,2025-01-31,565,257,1,819,2
432,P0029,W12,2025-01-31,555,149,20,680,4
433,P0029,W13,2025-01-31,374,283,25,630,2
434,P0029,W14,2025-01-31,542,148,36,654,0
435,P0029,W15,2025-01-31,596,226,8,812,2
436,P0030,W01,2025-01-31,996,330,29,1294,3
437,P0030,W02,2025-01-31,1322,432,0,1748,6
438,P0030,W03,2025-01-31,1252,241,0,1489,4
439,P0030,W04,2025-01-31,717,343,18,1031,11
440,P0030,W05,2025-01-31,614,464,45,1019,14
441,P0030,W06,2025-01-31,1143,474,94,1519,4
442,P0030,W07,2025-01-31,737,404,55,1083,3
443,P0030,W08,2025-01-31,964,396,39,1316,5
444,P0030,W09,2025-01-31,1108,340,2,1442,4
445,P0030,W10,2025-01-31,715,304,0,1007,12
446,P0030,W11,2025-01-31,1069,316,51,1326,8
447,P0030,W12,2025-01-31,1090,318,9,1394,5
448,P0030,W13,2025-01-31,922,346,52,1212,4
449,P0030,W14,2025-01-31,208,228,78,354,4
450,P0030,W15,2025-01-31,919,345,47,1215,2
451,P0031,W01,2025-01-31,615,351,36,928,2
452,P0031,W02,2025-01-31,526,493,0,1015,4
453,P0031,W03,2025-01-31,520,58,38,537,3
454,P0031,W04,2025-01-31,769,274,27,1011,5
455,P0031,W05,2025-01-31,533,356,10,875,4
456,P0031,W06,2025-01-31,534,558,31,1060,1
457,P0031,W07,2025-01-31,887,240,0,1119,8
458,P0031,W08,2025-01-31,671,343,52,962,0
459,P0031,W09,2025-01-31,691,140,50,779,2
460,P0031,W10,2025-01-31,808,356,0,1160,4
461,P0031,W11,2025-01-31,588,94,47,635,0
462,P0031,W12,2025-01-31,806,348,0,1143,11
463,P0031,W13,2025-01-31,660,331,40,944,7
464,P0031,W14,2025-01-31,555,205,23,734,3
465,P0031,W15,2025-01-31,556,202,77,678,3
466,P0032,W01,2025-01-31,666,308,3,965,6
467,P0032,W02,2025-01-31,459,198,47,606,4
468,P0032,W03,2025-01-31,591,303,26,857,11
469,P0032,W04,2025-01-31,241,263,1,499,4
470,P0032,W05,2025-01-31,732,197,8,909,12
471,P0032,W06,2025-01-31,595,316,0,903,8
472,P0032,W07,2025-01-31,984,206,24,1160,6
473,P0032,W08,2025-01-31,686,377,47,1005,11
474,P0032,W09,2025-01-31,423,205,17,605,6
475,P0032,W10,2025-01-31,499,272,0,767,4
476,P0032,W11,2025-01-31,827,582,41,1360,8
477,P0032,W12,2025-01-31,839,312,27,1118,6
478,P0032,W13,2025-01-31,835,430,4,1258,3
479,P0032,W14,2025-01-31,387,44,21,409,1
480,P0032,W15,2025-01-31,558,93,29,621,1
481,P0033,W01,2025-01-31,23,45,0,68,0
482,P0033,W02,2025-01-31,248,44,5,287,0
483,P0033,W03,2025-01-31,148,117,0,263,2
484,P0033,W04,2025-01-31,82,92,0,173,1
485,P0033,W05,2025-01-31,140,59,0,199,0
486,P0033,W06,2025-01-31,232,86,4,311,3
487,P0033,W07,2025-01-31,181,79,8,252,0
488,P0033,W08,2025-01-31,154,69,2,221,0
489,P0033,W09,2025-01-31,154,36,5,184,1
490,P0033,W10,2025-01-31,201,114,11,304,0
491,P0033,W11,2025-01-31,205,109,4,307,3
492,P0033,W12,2025-01-31,221,67,0,284,4
493,P0033,W13,2025-01-31,146,34,25,155,0
494,P0033,W14,2025-01-31,237,123,0,358,2
495,P0033,W15,2025-01-31,209,53,0,260,2
496,P0034,W01,2025-01-31,136,80,5,0,1
497,P0034,W02,2025-01-31,78,23,0,101,0
498,P0034,W03,2025-01-31,182,85,0,266,1
499,P0034,W04,2025-01-31,112,68,0,356,1
500,P0034,W05,2025-01-31,126,77,2,201,0
501,P0034,W06,2025-01-31,142,37,1,177,1
502,P0034,W07,2025-01-31,101,73,0,173,1
503,P0034,W08,2025-01-31,127,67,5,187,2
504,P0034,W09,2025-01-31,31,33,0,64,0
505,P0034,W10,2025-01-31,174,49,8,214,1
506,P0034,W11,2025-01-31,141,73,6,208,0
507,P0034,W12,2025-01-31,79,11,7,82,1
508,P0034,W13,2025-01-31,145,86,1,228,2
509,P0034,W14,2025-01-31,124,20,8,136,0
510,P0034,W15,2025-01-31,113,63,6,170,0
511,P0035,W01,2025-01-31,709,382,43,3004,4
512,P0035,W02,2025-01-31,1048,402,0,1440,10
513,P0035,W03,2025-01-31,856,211,22,1043,2
514,P0035,W04,2025-01-31,543,327,21,849,0
515,P0035,W05,2025-01-31,834,424,66,1174,18
516,P0035,W06,2025-01-31,1130,407,24,1502,11
517,P0035,W07,2025-01-31,367,211,59,515,4
518,P0035,W08,2025-01-31,1227,499,52,1655,19
519,P0035,W09,2025-01-31,856,217,94,973,6
520,P0035,W10,2025-01-31,558,394,9,941,2
521,P0035,W11,2025-01-31,724,354,0,1072,6
522,P0035,W12,2025-01-31,651,174,20,805,0
523,P0035,W13,2025-01-31,532,421,29,917,7
524,P0035,W14,2025-01-31,478,294,52,714,6
525,P0035,W15,2025-01-31,1004,22,63,963,0
526,P0036,W01,2025-01-31,66,85,3,147,1
527,P0036,W02,2025-01-31,121,103,1,219,4
528,P0036,W03,2025-01-31,91,15,4,0,0
529,P0036,W04,2025-01-31,144,24,6,162,0
530,P0036,W05,2025-01-31,234,53,9,276,2
