order_id,order_date,product_id,warehouse_id,supplier_id,quantity,unit_price,order_status,shipping_method,promised_date,delivery_date
O000071,2025-01-01,P0228,W08,S028,2,322.73,Delivered,Standard,2025-01-05,2025-01-03
O000072,2025-01-01,P0367,W15,S031,2,36.06,Delivered,Standard,2025-01-07,2025-01-06
O000073,2025-01-01,P0206,W10,S027,5,168.38,Delivered,Standard,2025-01-08,2025-01-15
O000074,2025-01-01,P0288,W14,S002,1,293.44,Delivered,Standard,2025-01-08,2025-01-06
O000075,2025-01-01,P0373,W15,S014,6,347.29,Delivered,Standard,2025-01-06,2025-01-10
O000076,2025-01-01,P0202,W01,S003,2,252.35,Delivered,Standard,2025-01-09,2025-01-09
O000077,2025-01-01,P0144,W11,S029,4,130.41,Delivered,Express,2025-01-03,2025-01-02
O000078,2025-01-01,P0039,W08,S016,2,54.4,Cancelled,Standard,2025-01-06,
O000079,2025-01-01,P0062,W12,S002,6,240.44,Delivered,Standard,2025-01-07,2025-01-05
O000080,2025-01-01,P0016,W02,S011,5,152.36,Delivered,Standard,2025-01-08,2025-01-10
O000081,2025-01-01,P0148,W09,S008,5,271.75,Delivered,Standard,2025-01-07,2025-01-15
O000082,2025-01-01,P0170,W11,S029,1,329.85,Delivered,Express,2025-01-03,2025-01-02
O000083,2025-01-01,P0159,W13,S016,1,335.54,Delivered,Express,2025-01-05,2025-01-04
O000084,2025-01-01,P0180,W09,S023,2,186.45,Delivered,Express,2025-01-04,2025-01-02
O000085,2025-01-01,P0074,W09,S001,1,245.47,Delivered,Express,2025-01-04,2025-01-04
O000086,2025-01-01,P0109,W07,S011,1,102.8,Returned,Standard,2025-01-05,2025-01-05
O000087,2025-01-01,P0174,W13,S001,2,235.9,Cancelled,Standard,2025-01-09,
O000088,2025-01-01,P0163,W13,S012,2,144.24,Delivered,Standard,2025-01-08,2025-01-06
O000089,2025-01-01,P0027,W09,S035,1,151.89,Delivered,Standard,2025-01-06,2025-01-05
O000090,2025-01-01,P0297,W09,S039,1,196.29,Delivered,Standard,2025-01-05,2025-01-05
O000091,2025-01-01,P0378,W14,S012,3,13.5,Delivered,Same Day,2025-01-02,2025-01-02
O000092,2025-01-01,P0146,W04,S008,4,91.59,Delivered,Standard,2025-01-09,2025-01-07
O000093,2025-01-01,P0031,W01,S027,1,289.71,Delivered,Standard,2025-01-05,2025-01-12
O000094,2025-01-01,P0085,W11,S004,1,161.69,Delivered,Express,2025-01-03,2025-01-03
O000095,2025-01-01,P0182,W09,S020,4,25.32,Delivered,Express,2025-01-03,2025-01-02
O000096,2025-01-01,P0264,W14,S019,1,44.36,Delivered,Standard,2025-01-06,2025-01-04
O000097,2025-01-01,P0066,W03,S022,3,238.84,Delivered,Same Day,2025-01-02,2025-01-02
O000098,2025-01-01,P0288,W13,S006,4,293.44,Delivered,Standard,2025-01-07,2025-01-07
O000099,2025-01-01,P0041,W06,S031,1,258.54,Delivered,Standard,2025-01-09,2025-01-11
O000100,2025-01-01,P0137,W07,S001,1,270.04,Delivered,Standard,2025-01-09,2025-01-08
O000101,2025-01-01,P0013,W11,S020,1,276.24,Delivered,Express,2025-01-05,2025-01-03
O000102,2025-01-01,P0056,W12,S019,1,373.17,Delivered,Standard,2025-01-07,2025-01-06
O000103,2025-01-01,P0119,W14,S027,3,246.13,Delivered,Same Day,2025-01-02,2025-01-02
O000104,2025-01-01,P0162,W13,S017,2,104.2,Delivered,Express,2025-01-03,2025-01-02
O000105,2025-01-01,P0309,W08,S009,2,54.23,Returned,Standard,2025-01-07,2025-01-13
O000106,2025-01-01,P0144,W02,S007,1,130.41,Delivered,Standard,2025-01-08,2025-01-07
O000107,2025-01-01,P0314,W10,S011,5,278.93,Delivered,Standard,2025-01-06,2025-01-06
O000108,2025-01-01,P0082,W06,S019,1,263.71,Delivered,Standard,2025-01-07,2025-01-05
O000109,2025-01-01,P0163,W08,S012,1,144.24,Delivered,Standard,2025-01-07,2025-01-06
O000110,2025-01-01,P0025,W03,S016,5,349.81,Cancelled,Express,2025-01-05,
O000111,2025-01-01,P0305,W15,S025,5,144.32,Delivered,Express,2025-01-03,2025-01-02
O000112,2025-01-01,P0260,W03,S033,1,277.6,Delivered,Standard,2025-01-05,2025-01-08
O000113,2025-01-01,P0328,W05,S015,1,180.64,Delivered,Express,2025-01-03,2025-01-03
O000114,2025-01-01,P0392,W01,S007,1,112.98,Delivered,Express,2025-01-03,2025-01-03
O000115,2025-01-01,P0200,W04,S016,1,45.55,Delivered,Standard,2025-01-09,2025-01-07
O000116,2025-01-01,P0214,W09,S026,2,200.57,Delivered,Standard,2025-01-07,2025-01-06
O000117,2025-01-01,P0293,W13,S006,2,279.26,Delivered,Standard,2025-01-05,2025-01-09
O000118,2025-01-01,P0395,W11,S026,5,252.6,Delivered,Standard,2025-01-07,2025-01-06
O000119,2025-01-01,P0212,W13,S020,4,169.93,Delivered,Express,2025-01-04,2025-01-02
O000120,2025-01-01,P0386,W10,S017,2,217.0,Delivered,Standard,2025-01-05,2025-01-12
O000121,2025-01-01,P0316,W10,S003,5,170.69,Delivered,Same Day,2025-01-02,2025-01-02
O000122,2025-01-01,P0397,W15,S006,4,348.08,Delivered,Express,2025-01-05,2025-01-04
O000123,2025-01-01,P0132,W01,S020,1,54.02,Delivered,Standard,2025-01-08,2025-01-07
O000124,2025-01-01,P0296,W09,S038,2,140.66,Cancelled,Standard,2025-01-09,
O000125,2025-01-01,P0373,W05,S040,5,347.29,Delivered,Express,2025-01-05,2025-01-11
O000126,2025-01-01,P0329,W04,S021,3,253.87,Delivered,Standard,2025-01-07,2025-01-11
O000127,2025-01-01,P0309,W12,S011,1,54.23,Delivered,Express,2025-01-04,2025-01-05
O000128,2025-01-01,P0346,W10,S011,1,168.65,Cancelled,Standard,2025-01-06,
O000129,2025-01-01,P0167,W15,S002,3,223.63,Delivered,Express,2025-01-05,2025-01-04
O000130,2025-01-01,P0322,W13,S008,1,210.53,Delivered,Express,2025-01-05,2025-01-03
O000131,2025-01-01,P0029,W04,S015,1,7.23,Delivered,Same Day,2025-01-02,2025-01-02
O000132,2025-01-02,P0341,W14,S033,3,33.39,Delivered,Standard,2025-01-07,2025-01-09
O000133,2025-01-02,P0046,W08,S002,1,158.95,Delivered,Standard,2025-01-08,2025-01-07
O000134,2025-01-02,P0034,W04,S017,2,284.6,Delivered,Standard,2025-01-07,2025-01-09
O000135,2025-01-02,P0291,W02,S035,1,42.62,Delivered,Express,2025-01-04,2025-01-04
O000136,2025-01-02,P0256,W01,S030,4,107.79,Delivered,Same Day,2025-01-03,2025-01-03
O000137,2025-01-02,P0363,W09,S040,3,165.26,Delivered,Standard,2025-01-07,2025-01-06
O000138,2025-01-02,P0081,W07,S035,4,137.5,Delivered,Standard,2025-01-09,2025-01-09
O000139,2025-01-02,P0177,W12,S009,1,354.06,Delivered,Standard,2025-01-08,2025-01-06
O000140,2025-01-02,P0218,W13,S015,1,299.6,Delivered,Standard,2025-01-10,2025-01-08
O000141,2025-01-02,P0235,W07,S032,1,250.51,Delivered,Standard,2025-01-10,2025-01-09
O000142,2025-01-02,P0154,W15,S008,1,262.96,Delivered,Express,2025-01-06,2025-01-05
O000143,2025-01-02,P0048,W02,S023,4,286.46,Delivered,Standard,2025-01-06,2025-01-05
O000144,2025-01-02,P0156,W03,S028,3,214.5,Delivered,Same Day,2025-01-03,2025-01-03
O000145,2025-01-02,P0229,W07,S034,1,321.35,Delivered,Standard,2025-01-10,2025-01-18
O000146,2025-01-02,P0258,W13,S008,3,318.65,Delivered,Standard,2025-01-06,2025-01-10
O000147,2025-01-02,P0364,W11,S028,6,173.38,Delivered,Standard,2025-01-06,2025-01-05
O000148,2025-01-02,P0283,W04,S020,2,375.14,Delivered,Standard,2025-01-07,2025-01-07
O000149,2025-01-02,P0249,W13,S031,5,81.92,Delivered,Standard,2025-01-10,2025-01-18
O000150,2025-01-02,P0314,W15,S002,2,278.93,Delivered,Standard,2025-01-08,2025-01-06
O000151,2025-01-02,P0318,W05,S015,1,214.17,Delivered,Express,2025-01-04,2025-01-04
O000152,2025-01-02,P0066,W04,S037,4,238.84,Delivered,Express,2025-01-06,2025-01-06
O000153,2025-01-02,P0231,W02,S015,2,78.58,Delivered,Express,2025-01-05,2025-01-04
O000154,2025-01-02,P0321,W08,S036,5,308.06,Delivered,Standard,2025-01-06,2025-01-04
O000155,2025-01-02,P0161,W11,S031,2,51.09,Returned,Standard,2025-01-08,2025-01-07
O000156,2025-01-02,P0195,W01,S025,1,59.63,Delivered,Standard,2025-01-09,2025-01-08
O000157,2025-01-02,P0047,W03,S018,4,65.96,Delivered,Standard,2025-01-09,2025-01-07
O000158,2025-01-02,P0270,W06,S019,5,302.39,Delivered,Standard,2025-01-08,2025-01-07
O000159,2025-01-02,P0022,W01,S021,1,274.29,Delivered,Express,2025-01-04,2025-01-03
O000160,2025-01-02,P0208,W01,S028,8,133.58,Delivered,Same Day,2025-01-03,2025-01-03
O000161,2025-01-02,P0311,W09,S010,1,6.16,Delivered,Express,2025-01-06,2025-01-12
O000162,2025-01-02,P0256,W09,S016,3,107.79,Delivered,Express,2025-01-04,2025-01-03
O000163,2025-01-02,P0118,W15,S017,2,242.73,Delivered,Standard,2025-01-06,2025-01-06
O000164,2025-01-02,P0197,W06,S006,5,143.41,Delivered,Standard,2025-01-06,2025-01-06
O000165,2025-01-02,P0079,W10,S013,3,175.06,Delivered,Standard,2025-01-08,2025-01-07
O000166,2025-01-02,P0316,W15,S040,1,170.69,Delivered,Standard,2025-01-06,2025-01-07
O000167,2025-01-02,P0155,W09,S035,3,327.3,Delivered,Standard,2025-01-08,2025-01-06
O000168,2025-01-02,P0308,W02,S013,1,240.22,Delivered,Express,2025-01-05,2025-01-12
O000169,2025-01-02,P0020,W10,S020,2,42.29,Delivered,Express,2025-01-04,2025-01-04
O000170,2025-01-02,P0042,W11,S030,5,341.05,Delivered,Standard,2025-01-09,2025-01-08
O000171,2025-01-02,P0361,W09,S001,5,247.56,Delivered,Same Day,2025-01-03,2025-01-03
O000172,2025-01-02,P0042,W04,S027,4,341.05,Delivered,Standard,2025-01-07,2025-01-14
O000173,2025-01-02,P0229,W07,S039,2,321.35,Delivered,Standard,2025-01-09,2025-01-09
O000174,2025-01-02,P0170,W10,S036,1,329.85,Delivered,Express,2025-01-06,2025-01-06
O000175,2025-01-02,P0067,W09,S039,1,252.4,Delivered,Standard,2025-01-07,2025-01-07
O000176,2025-01-02,P0019,W02,S037,1,211.02,Delivered,Standard,2025-01-09,2025-01-08
O000177,2025-01-02,P0077,W06,S007,4,180.18,Delivered,Standard,2025-01-06,2025-01-05
O000178,2025-01-02,P0012,W09,S002,1,271.25,Delivered,Standard,2025-01-07,2025-01-08
O000179,2025-01-02,P0313,W01,S019,1,211.57,Delivered,Standard,2025-01-08,2025-01-07
O000180,2025-01-02,P0239,W02,S015,1,321.91,Returned,Standard,2025-01-08,2025-01-06
O000181,2025-01-02,P0212,W14,S038,2,169.93,Delivered,Express,2025-01-04,2025-01-03
O000182,2025-01-02,P0074,W08,S008,3,245.47,Delivered,Standard,2025-01-10,2025-01-09
O000183,2025-01-02,P0277,W12,S032,3,252.38,Delivered,Standard,2025-01-07,2025-01-07
O000184,2025-01-02,P0177,W11,S040,1,354.06,Delivered,Express,2025-01-05,2025-01-11
O000185,2025-01-02,P0362,W03,S001,3,208.46,Delivered,Express,2025-01-04,2025-01-03
O000186,2025-01-02,P0051,W11,S032,1,35.58,Delivered,Standard,2025-01-06,2025-01-09
O000187,2025-01-02,P0283,W06,S022,3,375.14,Delivered,Express,2025-01-04,2025-01-03
O000188,2025-01-02,P0365,W10,S036,1,9.85,Delivered,Standard,2025-01-06,2025-01-04
O000189,2025-01-02,P0126,W06,S020,3,345.18,Delivered,Standard,2025-01-07,2025-01-06
O000190,2025-01-02,P0011,W12,S025,2,174.74,Cancelled,Standard,2025-01-08,
O000191,2025-01-02,P0311,W01,S004,1,6.16,Delivered,Standard,2025-01-10,2025-01-08
O000192,2025-01-02,P0256,W11,S012,1,107.79,Delivered,Standard,2025-01-08,2025-01-07
O000193,2025-01-02,P0342,W07,S011,1,132.06,Delivered,Standard,2025-01-10,2025-01-10
O000194,2025-01-02,P0177,W04,S033,1,354.06,Delivered,Standard,2025-01-07,2025-01-13
O000195,2025-01-02,P0266,W12,S017,1,288.94,Delivered,Standard,2025-01-06,2025-01-04
O000196,2025-01-02,P0142,W07,S011,4,303.64,Delivered,Same Day,2025-01-03,2025-01-03
O000197,2025-01-02,P0376,W08,S038,1,298.16,Delivered,Standard,2025-01-09,2025-01-09
O000198,2025-01-02,P0314,W03,S006,4,278.93,Delivered,Standard,2025-01-10,2025-01-08
O000199,2025-01-02,P0082,W11,S038,2,263.71,Delivered,Standard,2025-01-10,2025-01-10
O000200,2025-01-02,P0176,W13,S030,3,262.83,Returned,Express,2025-01-04,2025-01-04
O000201,2025-01-02,P0338,W07,S022,1,210.59,Delivered,Express,2025-01-05,2025-01-04
O000202,2025-01-02,P0234,W04,S013,2,171.91,Delivered,Standard,2025-01-06,2025-01-06
O000203,2025-01-02,P0240,W11,S036,1,269.59,Returned,Express,2025-01-06,2025-01-05
O000204,2025-01-02,P0377,W10,S032,2,174.67,Delivered,Standard,2025-01-08,2025-01-16
O000205,2025-01-02,P0389,W01,S023,3,144.38,Delivered,Standard,2025-01-07,2025-01-10
O000206,2025-01-02,P0369,W13,S024,5,234.57,Delivered,Standard,2025-01-07,2025-01-07
O000207,2025-01-02,P0034,W08,S004,5,284.6,Delivered,Standard,2025-01-08,2025-01-07
O000208,2025-01-02,P0190,W11,S010,1,231.35,Cancelled,Standard,2025-01-09,
O000209,2025-01-02,P0121,W05,S020,2,25.96,Delivered,Standard,2025-01-07,2025-01-06
O000210,2025-01-02,P0039,W15,S013,1,54.4,Delivered,Standard,2025-01-09,2025-01-09
O000211,2025-01-02,P0281,W05,S001,2,302.82,Delivered,Standard,2025-01-06,2025-01-05
O000212,2025-01-02,P0202,W14,S012,2,252.35,Delivered,Express,2025-01-06,2025-01-04
O000213,2025-01-02,P0257,W02,S032,1,31.87,Delivered,Standard,2025-01-07,2025-01-07
O000214,2025-01-02,P0230,W03,S002,1,141.16,Cancelled,Standard,2025-01-10,
O000215,2025-01-02,P0251,W07,S010,5,259.67,Delivered,Standard,2025-01-07,2025-01-05
O000216,2025-01-02,P0286,W05,S036,5,309.74,Delivered,Standard,2025-01-09,2025-01-08
O000217,2025-01-02,P0283,W08,S028,4,375.14,Cancelled,Express,2025-01-05,
O000218,2025-01-02,P0002,W09,S029,1,13.28,Delivered,Standard,2025-01-09,2025-01-07
O000219,2025-01-02,P0202,W10,S014,2,252.35,Delivered,Express,2025-01-04,2025-01-03
O000220,2025-01-02,P0142,W14,S025,2,303.64,Delivered,Standard,2025-01-10,2025-01-09
O000221,2025-01-02,P0197,W11,S022,2,143.41,Delivered,Standard,2025-01-09,2025-01-09
O000222,2025-01-02,P0332,W03,S018,3,271.79,Delivered,Express,2025-01-04,2025-01-04
O000223,2025-01-02,P0298,W07,S008,2,185.4,Delivered,Express,2025-01-05,2025-01-04
O000224,2025-01-02,P0171,W14,S031,2,222.45,Delivered,Express,2025-01-06,2025-01-04
O000225,2025-01-02,P0153,W03,S028,4,221.84,Delivered,Standard,2025-01-08,2025-01-08
O000226,2025-01-02,P0021,W06,S031,5,157.93,Delivered,Express,2025-01-05,2025-01-05
O000227,2025-01-02,P0237,W05,S018,1,100.89,Delivered,Standard,2025-01-08,2025-01-11
O000228,2025-01-02,P0306,W06,S005,4,207.62,Delivered,Express,2025-01-06,2025-01-04
O000229,2025-01-02,P0193,W09,S006,1,225.8,Delivered,Standard,2025-01-08,2025-01-10
O000230,2025-01-02,P0032,W14,S034,1,257.01,Delivered,Standard,2025-01-10,2025-01-16
O000231,2025-01-02,P0284,W13,S002,5,354.88,Delivered,Standard,2025-01-10,2025-01-08
O000232,2025-01-02,P0340,W01,S010,3,250.93,Delivered,Standard,2025-01-09,2025-01-09
O000233,2025-01-02,P0008,W12,S039,1,212.71,Delivered,Express,2025-01-05,2025-01-04
O000234,2025-01-02,P0309,W08,S033,4,54.23,Delivered,Standard,2025-01-08,2025-01-10
O000235,2025-01-02,P0040,W06,S026,1,24.9,Delivered,Standard,2025-01-08,2025-01-06
O000236,2025-01-02,P0304,W10,S021,2,292.41,Delivered,Express,2025-01-04,2025-01-04
O000237,2025-01-02,P0030,W05,S009,3,26.48,Delivered,Express,2025-01-06,2025-01-05
O000238,2025-01-02,P0328,W13,S031,3,180.64,Delivered,Express,2025-01-06,2025-01-05
O000239,2025-01-02,P0266,W15,S024,6,288.94,Delivered,Standard,2025-01-08,2025-01-08
O000240,2025-01-02,P0338,W14,S021,7,210.59,Delivered,Standard,2025-01-10,2025-01-08
O000241,2025-01-02,P0318,W03,S037,5,214.17,Cancelled,Standard,2025-01-06,
O000242,2025-01-02,P0341,W02,S040,2,33.39,Delivered,Standard,2025-01-08,2025-01-07
O000243,2025-01-02,P0184,W15,S012,2,228.76,Returned,Standard,2025-01-06,2025-01-04
O000244,2025-01-02,P0185,W09,S004,1,168.53,Delivered,Standard,2025-01-07,2025-01-05
O000245,2025-01-02,P0001,W15,S021,4,79.08,Delivered,Standard,2025-01-07,2025-01-12
O000246,2025-01-02,P0362,W02,S006,2,208.46,Delivered,Standard,2025-01-07,2025-01-06
O000247,2025-01-02,P0231,W05,S016,1,78.58,Delivered,Express,2025-01-06,2025-01-04
O000248,2025-01-02,P0187,W01,S029,1,243.1,Delivered,Standard,2025-01-07,2025-01-07
O000249,2025-01-02,P0372,W06,S002,3,361.1,Delivered,Standard,2025-01-06,2025-01-04
O000250,2025-01-02,P0027,W14,S028,1,151.89,Delivered,Standard,2025-01-10,2025-01-11
O000251,2025-01-02,P0053,W15,S004,3,49.75,Delivered,Standard,2025-01-07,2025-01-05
O000252,2025-01-02,P0353,W01,S019,1,291.03,Delivered,Standard,2025-01-09,2025-01-12
O000253,2025-01-02,P0319,W03,S002,3,294.78,Delivered,Standard,2025-01-10,2025-01-09
O000254,2025-01-02,P0044,W08,S009,3,84.64,Cancelled,Standard,2025-01-07,
O000255,2025-01-02,P0067,W06,S037,1,252.4,Cancelled,Standard,2025-01-09,
O000256,2025-01-02,P0129,W01,S012,2,107.47,Delivered,Standard,2025-01-10,2025-01-10
O000257,2025-01-02,P0006,W01,S033,4,122.99,Delivered,Standard,2025-01-08,2025-01-08
O000258,2025-01-02,P0134,W01,S001,2,191.27,Delivered,Express,2025-01-05,2025-01-05
O000259,2025-01-02,P0374,W09,S033,3,8.78,Delivered,Standard,2025-01-10,2025-01-09
O000260,2025-01-02,P0146,W10,S020,2,91.59,Delivered,Standard,2025-01-10,2025-01-09
O000261,2025-01-02,P0342,W12,S038,3,132.06,Delivered,Standard,2025-01-06,2025-01-04
O000262,2025-01-02,P0211,W12,S017,1,83.54,Delivered,Standard,2025-01-09,2025-01-09
O000263,2025-01-02,P0115,W11,S006,1,158.63,Delivered,Standard,2025-01-07,2025-01-05
O000264,2025-01-03,P0397,W08,S025,1,348.08,Delivered,Standard,2025-01-08,2025-01-06
O000265,2025-01-03,P0164,W02,S026,3,34.55,Delivered,Standard,2025-01-08,2025-01-07
O000266,2025-01-03,P0152,W12,S033,1,338.06,Returned,Express,2025-01-05,2025-01-04
O000267,2025-01-03,P0058,W07,S035,4,243.06,Delivered,Standard,2025-01-08,2025-01-08
O000268,2025-01-03,P0368,W13,S020,2,266.82,Delivered,Standard,2025-01-08,2025-01-12
O000269,2025-01-03,P0026,W15,S021,1,108.87,Delivered,Standard,2025-01-09,2025-01-14
O000270,2025-01-03,P0048,W15,S012,1,286.46,Delivered,Standard,2025-01-08,2025-01-06
O000271,2025-01-03,P0304,W11,S011,1,292.41,Delivered,Standard,2025-01-10,2025-01-08
O000272,2025-01-03,P0077,W07,S028,4,180.18,Returned,Standard,2025-01-08,2025-01-07
O000273,2025-01-03,P0158,W11,S034,1,234.31,Delivered,Standard,2025-01-11,2025-01-11
O000274,2025-01-03,P0162,W14,S033,2,104.2,Delivered,Standard,2025-01-07,2025-01-11
O000275,2025-01-03,P0087,W12,S031,2,32.8,Delivered,Express,2025-01-07,2025-01-05
O000276,2025-01-03,P0165,W11,S011,1,253.11,Delivered,Standard,2025-01-07,2025-01-05
O000277,2025-01-03,P0009,W01,S011,2,294.86,Delivered,Standard,2025-01-07,2025-01-07
O000278,2025-01-03,P0126,W01,S025,5,345.18,Delivered,Standard,2025-01-07,2025-01-07
O000279,2025-01-03,P0043,W05,S037,1,154.96,Delivered,Standard,2025-01-11,2025-01-09
O000280,2025-01-03,P0142,W01,S007,2,303.64,Delivered,Standard,2025-01-10,2025-01-11
