product_id,product_name,category,total_orders,total_quantity,revenue,cost,gross_profit,profit_margin
P0181,Fitness Band Essential 181,Sports & Fitness,201,436,123784.76000000001,103122.72,20662.040000000005,0.1669190940791096
P0182,Biscuits Pro 182,Grocery,201,596,15090.720000000001,10739.92,4350.8,0.2883096366508689
P0183,Trimmer Elite 183,Personal Care,173,364,9376.640000000001,7698.599999999999,1678.0400000000009,0.17895962732919263
P0184,Storage Box Max 184,Home & Kitchen,216,562,128563.12,88352.02,40211.09999999999,0.3127732121000174
P0185,Calculator Max 185,Office Supplies,175,358,60333.74,41195.06,19138.680000000004,0.31721355248323746
P0186,Cooking Oil Essential 186,Grocery,177,539,94044.71999999999,58874.97,35169.74999999999,0.37396836313617604
P0187,Desk Organizer Smart 187,Office Supplies,177,375,91162.5,68703.75,22458.749999999996,0.24635952283011103
P0188,Cereal Prime 188,Grocery,177,507,122795.4,87528.48,35266.92,0.28720066061106525
P0189,Keyboard Plus 189,Electronics,194,648,164131.92,121117.68,43014.24,0.2620711437482727
P0190,Gym Bag Classic 190,Sports & Fitness,227,426,98555.09999999999,71776.74,26778.359999999993,0.27170953101361567
P0191,Cooking Oil Pro 191,Grocery,179,520,184147.6,125938.8,58208.799999999996,0.3160986078558721
P0192,Bluetooth Speaker Elite 192,Electronics,204,695,49949.65,40581.05,9368.600000000002,0.18756087379991657
P0193,Yoga Mat Max 193,Sports & Fitness,198,392,88513.6,56761.600000000006,31752.000000000004,0.3587245349867139
P0194,Gym Bag Max 194,Sports & Fitness,177,351,4661.28,3562.65,1098.6299999999994,0.23569277108433723
P0195,Pen Set Pro 195,Office Supplies,183,338,20154.940000000002,16159.78,3995.1600000000003,0.1982223712896193
P0196,Shampoo Pro 196,Personal Care,179,426,15625.68,10931.16,4694.5199999999995,0.30043620501635765
P0197,Moisturizer Prime 197,Personal Care,196,497,71274.77,46916.8,24357.969999999994,0.3417474374171953
P0198,Yoga Mat Prime 198,Sports & Fitness,195,382,23523.56,15998.160000000002,7525.399999999999,0.319909061383566
P0199,Keyboard Smart 199,Electronics,198,695,118594.79999999999,85457.2,33137.6,0.27941865916549463
P0200,Mixer Smart 200,Home & Kitchen,179,454,20679.699999999997,13797.06,6882.639999999998,0.33282107574094394
P0201,Face Wash Essential 201,Personal Care,176,375,55158.75,37736.25,17422.500000000004,0.31586103746005856
P0202,Storage Box Prime 202,Home & Kitchen,191,493,124408.54999999999,94532.75,29875.799999999996,0.2401426590053497
P0203,Webcam Smart 203,Electronics,191,687,43308.479999999996,31876.8,11431.68,0.2639593908629442
P0204,Cookware Set Smart 204,Home & Kitchen,185,482,124842.81999999999,104044.52,20798.29999999999,0.1665958843287903
P0205,Sunscreen Classic 205,Personal Care,188,466,98083.68,67667.86,30415.81999999999,0.31010072215887485
P0206,Cereal Plus 206,Grocery,195,579,97492.01999999999,59660.16,37831.85999999999,0.38805083739161417
P0207,T-Shirt Classic 207,Sports & Fitness,166,338,13202.28,8372.26,4830.02,0.365847414234511
P0208,Body Lotion Plus 208,Personal Care,187,436,58240.880000000005,43927.0,14313.880000000005,0.24577032489893702
P0209,Air Fryer Prime 209,Home & Kitchen,176,478,15448.960000000001,10453.86,4995.1,0.32332920792079206
P0210,T-Shirt Classic 210,Sports & Fitness,222,448,65533.44,40194.56,25338.88,0.3866557287394039
P0211,Cookware Set Prime 211,Home & Kitchen,186,473,39514.420000000006,31322.06,8192.360000000002,0.20732583193679677
P0212,Green Tea Elite 212,Grocery,178,521,88533.53,61269.6,27263.930000000008,0.3079503324898489
P0213,Sunscreen Classic 213,Personal Care,176,412,20122.08,16599.48,3522.6000000000017,0.17506142506142514
P0214,Cooking Oil Max 214,Grocery,185,580,116330.59999999999,86466.40000000001,29864.19999999999,0.2567183526948197
P0215,Desk Organizer Pro 215,Office Supplies,183,365,9774.7,6223.25,3551.45,0.3633308439133681
P0216,Juice Smart 216,Grocery,176,527,89041.92,61811.83,27230.09,0.30581202651515155
P0217,Biscuits Essential 217,Grocery,160,520,60153.600000000006,42858.4,17295.200000000004,0.2875172890733057
P0218,Wireless Mouse Classic 218,Electronics,188,633,189646.80000000002,155496.45,34150.35000000001,0.1800734312416556
P0219,Storage Box Elite 219,Home & Kitchen,185,470,166097.99999999997,116451.90000000001,49646.09999999998,0.29889643463497445
P0220,Mixer Max 220,Home & Kitchen,187,472,71923.36,46581.68,25341.68,0.3523428271426696
P0221,T-Shirt Classic 221,Sports & Fitness,181,357,8428.77,6882.96,1545.8099999999995,0.18339686573485803
P0222,Moisturizer Prime 222,Personal Care,197,436,54094.52,37208.24,16886.279999999995,0.3121624889175465
P0223,Stapler Smart 223,Office Supplies,204,427,22515.71,14880.95,7634.759999999998,0.3390859093495163
P0224,Stapler Classic 224,Office Supplies,213,428,130437.28,87252.08,43185.19999999999,0.331080194251214
P0225,Rice Smart 225,Grocery,181,557,85137.45,71630.2,13507.25,0.15865227347072294
P0226,Mixer Elite 226,Home & Kitchen,171,439,36529.189999999995,22138.77,14390.419999999998,0.3939430356928254
P0227,Headphones Plus 227,Electronics,179,598,110085.82,76783.20000000001,33302.619999999995,0.30251507414851425
P0228,Skipping Rope Classic 228,Sports & Fitness,164,329,106178.17000000001,72205.63,33972.54000000001,0.31995785951104644
P0229,Shampoo Prime 229,Personal Care,184,435,139787.25,90627.9,49159.350000000006,0.3516726310875992
P0230,Cookware Set Smart 230,Home & Kitchen,206,531,74955.96,49372.380000000005,25583.579999999998,0.34131482006234054
P0231,T-Shirt Elite 231,Sports & Fitness,193,426,33475.08,25900.8,7574.280000000001,0.22626622550267245
P0232,Moisturizer Elite 232,Personal Care,202,492,75566.28,57578.76,17987.52,0.2380363304902663
P0233,Dumbbells Essential 233,Sports & Fitness,190,405,101306.7,81368.55,19938.149999999994,0.196809786519549
P0234,Headphones Classic 234,Electronics,200,661,113632.51,92520.17,21112.34,0.18579489267640045
P0235,Running Shoes Plus 235,Sports & Fitness,190,369,92438.19,70659.81,21778.379999999994,0.23559937727036837
P0236,Cookware Set Essential 236,Home & Kitchen,188,508,165963.6,104002.84,61960.76,0.373339455157637
P0237,Trimmer Classic 237,Personal Care,201,478,48225.42,29272.72,18952.7,0.3930022797105759
P0238,Mixer Plus 238,Home & Kitchen,196,508,158683.96,106822.24,51861.72,0.32682395876684706
P0239,Cookware Set Max 239,Home & Kitchen,188,490,157735.90000000002,112504.0,45231.900000000016,0.2867571681525893
P0240,Desk Lamp Pro 240,Home & Kitchen,172,459,123741.81,104078.25,19663.55999999999,0.15890797136392293
P0241,Cookware Set Max 241,Home & Kitchen,180,503,38399.020000000004,31035.100000000002,7363.92,0.19177364422321191
P0242,Face Wash Plus 242,Personal Care,212,466,138238.9,97701.56,40537.33999999999,0.29324119332546766
P0243,Webcam Prime 243,Electronics,204,665,58839.200000000004,49835.1,9004.100000000004,0.1530289330922243
P0244,Storage Box Plus 244,Home & Kitchen,196,530,94626.2,70119.0,24507.199999999993,0.25898958216646123
P0245,Fitness Band Elite 245,Sports & Fitness,206,423,7922.79,5816.25,2106.54,0.26588360918312864
P0246,Pen Set Plus 246,Office Supplies,208,447,60081.27,39411.99,20669.28,0.34402202217096944
P0247,Bluetooth Speaker Pro 247,Electronics,175,520,62686.0,46810.4,15875.6,0.253255910410618
P0248,Water Bottle Elite 248,Home & Kitchen,185,486,120688.38,77293.44,43394.94000000001,0.35956187331373585
P0249,Coffee Max 249,Grocery,190,572,46858.24,30195.88,16662.36,0.35559082031250006
P0250,USB Hub Smart 250,Electronics,180,644,228587.8,159267.64,69320.15999999999,0.303253979433723
P0251,USB Hub Classic 251,Electronics,182,569,147752.23,122875.54999999999,24876.680000000015,0.16836754342049534
P0252,Notebook Classic 252,Office Supplies,169,365,55388.75,40489.450000000004,14899.299999999997,0.268995057660626
P0253,Shampoo Elite 253,Personal Care,180,440,103523.2,76533.59999999999,26989.600000000006,0.26071064263855837
P0254,T-Shirt Plus 254,Sports & Fitness,211,445,98892.34999999999,81252.55,17639.799999999992,0.1783737569185078
P0255,Mixer Plus 255,Home & Kitchen,182,473,16063.08,10774.94,5288.139999999999,0.32921083627797404
P0256,Shampoo Elite 256,Personal Care,183,429,46241.91,38537.07,7704.840000000003,0.16662028017441327
P0257,Pen Set Pro 257,Office Supplies,190,427,13608.49,9197.58,4410.91,0.32412927518042045
