supplier_id,supplier_name,supplier_region,purchase_orders,ordered_quantity,received_quantity,defect_quantity,fulfillment_rate,defect_rate,avg_lead_time,on_time_rate,supplier_score,performance_category
S025,Apex Components 25,Central,357,29735,27675,1419,0.9307213721203969,0.05127371273712737,24.016901408450703,0.8507042253521127,77.61096180697376,Good
S026,Evergreen Supply 26,North,356,29304,25868,2834,0.8827463827463827,0.10955620844286378,15.92134831460674,0.7837078651685393,77.54830918893121,Good
S027,Vertex Wholesale 27,Central,380,31495,28357,2448,0.9003651373233846,0.08632789082060867,30.566137566137566,0.828042328042328,71.62493729389156,Good
S028,WestBridge Supplies 28,East,371,29405,26691,2041,0.9077027716374766,0.07646772320257765,23.937837837837836,0.8486486486486486,76.62117544901818,Good
S029,Evergreen Supply 29,South,365,28104,26642,817,0.9479789353828636,0.03066586592598153,7.645604395604396,0.8708791208791209,88.64455046990818,Excellent
S030,Vertex Wholesale 30,North,387,32313,28983,2603,0.8969455018104169,0.08981126867474036,15.883720930232558,0.8087855297157622,79.22437031473464,Good
S031,Apex Components 31,Central,373,30292,27498,2113,0.9077644262511554,0.07684195214197397,17.589812332439678,0.8525469168900804,80.45127651154277,Good
S032,Apex Components 32,Central,367,27689,26418,689,0.9540972949546751,0.026080702551290788,17.315068493150687,0.8821917808219178,83.71600661201022,Good
S033,Swift Supply 33,Central,342,26905,24322,1967,0.903995539862479,0.08087328344708494,33.36470588235294,0.8441176470588235,70.81895215151215,Good
S034,BluePeak Distributors 34,South,368,28477,26220,1603,0.9207430557994171,0.06113653699466057,9.970027247956404,0.8365122615803815,84.78507651823195,Good
S035,Vertex Wholesale 35,South,326,26602,23526,2530,0.8843695962709571,0.10754059338604098,14.544615384615385,0.8369230769230769,80.54545388227716,Good
S036,Alpha Supply Co 36,Central,393,33094,30943,1471,0.9350033238653532,0.047539023365543095,31.866323907455012,0.8534704370179949,73.33648113111633,Good
S037,Global Goods 37,North,366,30803,29255,868,0.9497451546927247,0.029670141856092975,8.581967213114755,0.8633879781420765,87.8614385143479,Excellent
S038,BluePeak Distributors 38,West,409,33084,29836,2517,0.9018256559061782,0.08436117442016357,21.110294117647058,0.7892156862745098,75.61689361526066,Good
S039,Reliable Source 39,West,363,28447,26381,1406,0.9273737125180159,0.05329593267882188,19.958677685950413,0.8650137741046832,80.42077936430185,Good
S040,Global Goods 40,West,411,34314,33046,527,0.963047152765635,0.01594746716697936,9.54390243902439,0.8902439024390244,88.91669052381107,Excellent
